"Title: Medicaid Postpartum Coverage Extension Tracker | KFF"
"Timeframe: March 19, 2026"
"Location","Medicaid/CHIP Income Eligibility Limit for Pregnancy (% FPL)","ACA Medicaid Expansion Status","Status of State Action","Limits on Coverage Period, Eligible Population, and/or Benefits",Footnotes
"Total: 50 states","N/A","Adopted: 40; Not adopted: 10","12-month extension implemented: 49;  Planning to implement a 12-month extension: 1","No limits: 50 states"
"33. CMS approved New York's state plan amendment on June 13, 2023."
"34. CMS approved North Carolina's state plan amendment on September 22, 2022"
"35. CMS approved North Dakota's state plan amendment on January 12, 2023"
"36. CMS approved Ohio's state plan amendment on August 16, 2022."
"37. CMS approved Oklahoma's state plan amendment on March 23, 2023."
"38. CMS approved Oregon's state plan amendment on May 25, 2022."
"39. CMS approved Pennsylvania's state plan amendment on October 27, 2022."
"40. CMS approved Rhode Island's state plan amendment on April 20, 2023."
"41. CMS approved South Carolina's state plan amendment on May 6, 2022."
"42. CMS approved South Dakota's state plan amendment on June 5, 2023."
"43. Tennessee's Section 1115 waiver approved in January 2021 gives the state authority to add coverage allowable under the state plan without CMS approval. Tennessee exercised this authority to extend postpartum coverage to 12 months beginning on April 1, 2022, which CMS acknowledged and added to the waiver terms on April 4, 2022."
"44. CMS approved Texas's state plan amendment on Janauary 17, 2024."
"45. CMS approved Utah's state plan amendment on March 8, 2024"
"46. CMS approved Vermont's state plan amendment on August 11, 2023"
"47. Virginia has implemented its postpartum extension through a Section 1115 waiver."
"48. CMS approved Washington's state plan amendment on June 30, 2022."
"49. CMS approved West Virginia's state plan amendment on September 8, 2022."
"50. Governor Evers has signed SB23 into law, which will extend postpartum coverage to 12 months.  Wisconsin has previously passed a 90 day extension and submitted a waiver application to CMS."
"51. CMS approved Wyoming's state plan amendment on September 14, 2023"

